@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
67,10,2,8,2,2,?
102,13,4,46,1,0,?
113,8,4,10,0,2,?
31,0,2,4,0,0,?
44,5,2,7,0,2,?
47,7,2,5,2,1,?
75,2,5,9,0,0,?
55,6,2,6,1,1,?
63,9,2,6,2,2,?
49,6,5,28,0,0,?
104,25,9,59,0,0,?
48,14,1,31,1,0,?
92,3,6,3,0,3,?
37,8,1,11,1,2,?
58,4,3,21,0,0,?
47,3,1,7,0,0,?
119,28,9,30,0,0,?
20,2,1,7,0,0,?
57,1,5,23,0,0,?
61,14,5,23,0,0,?
182,41,12,62,0,0,?
102,16,1,43,0,0,?
37,1,1,12,0,0,?
59,15,3,26,2,0,?
39,4,1,21,0,0,?
26,5,1,11,0,0,?
37,9,1,14,1,2,?
138,29,9,70,0,0,?
88,19,5,54,1,0,?
76,8,8,24,0,0,?
21,1,1,7,0,0,?
47,9,1,16,0,0,?
40,7,1,13,0,0,?
72,14,1,29,0,0,?
33,3,1,10,0,0,?
43,4,8,0,0,0,?
36,4,2,12,0,0,?
157,31,10,71,0,0,?
27,4,1,7,1,0,?
43,6,4,6,0,0,?
18,1,1,2,0,0,?
23,1,1,6,0,0,?
13,0,1,1,0,0,?
31,6,1,8,1,0,?
29,4,1,7,0,0,?
39,1,5,11,0,0,?
18,1,1,2,0,0,?
22,2,1,4,0,0,?
44,4,1,19,0,0,?
46,6,1,14,0,0,?
77,15,4,40,0,2,?
43,6,3,17,0,0,?
61,7,4,25,0,0,?
31,6,2,9,0,0,?
47,4,1,18,0,0,?
70,13,4,29,0,0,?
108,17,7,35,0,0,?
35,0,2,7,0,1,?
51,6,3,9,0,1,?
77,7,4,20,0,0,?
36,3,1,13,0,0,?
55,6,5,14,0,0,?
45,5,3,9,0,0,?
39,4,3,7,0,0,?
44,4,2,10,0,2,?
49,2,3,17,0,1,?
39,4,1,9,0,2,?
84,18,2,18,0,0,?
47,10,4,10,0,0,?
32,6,1,9,0,0,?
35,1,5,6,0,0,?
41,11,2,8,0,0,?
16,2,2,0,0,0,?
49,6,2,22,0,0,?
37,4,2,1,0,0,?
78,14,6,55,0,0,?
69,10,6,54,0,0,?
115,14,10,10,0,0,?
34,2,2,4,0,0,?
79,9,16,1,0,0,?
126,8,10,38,0,5,?
102,17,3,27,2,1,?
93,9,3,30,1,6,?
1101,50,80,147,0,20,?
20,4,2,3,0,0,?
480,54,17,178,12,33,?
228,28,8,105,2,9,?
